departamento_id,avg_yield,cv_yield,avg_volatility,failure_rate,cluster,stability_profile
22056,1537.3333333333333,31.26804181503745,415.75,44.44444444444444,2,Medium Stability / Structural Underperformance
22063,1628.7142857142858,36.68933262454675,586.45,42.857142857142854,0,Low Stability / High Risk
22070,1806.0,36.481672965132134,815.7,57.14285714285714,0,Low Stability / High Risk
22077,1619.5555555555557,30.880309153030183,661.125,44.44444444444444,0,Low Stability / High Risk
22084,1652.0,27.14211059877543,500.65,57.14285714285714,2,Medium Stability / Structural Underperformance
22091,1661.857142857143,38.33111792147356,667.5,42.857142857142854,0,Low Stability / High Risk
22098,1876.2857142857142,32.25223761300942,698.85,38.095238095238095,0,Low Stability / High Risk
22105,2072.095238095238,34.555056505396514,898.2,52.38095238095239,0,Low Stability / High Risk
22112,1979.2857142857142,29.559304223174287,706.25,38.095238095238095,0,Low Stability / High Risk
22119,1502.75,31.511467569993805,570.5714285714286,37.5,0,Low Stability / High Risk
22133,1654.095238095238,35.12114371091202,662.1,57.14285714285714,0,Low Stability / High Risk
22140,1798.9473684210527,27.866291543553256,551.2222222222222,42.10526315789473,2,Medium Stability / Structural Underperformance
22147,1863.2857142857142,33.82373091206677,686.35,47.61904761904761,0,Low Stability / High Risk
22154,2119.0476190476193,31.022544811475044,660.8,52.38095238095239,2,Medium Stability / Structural Underperformance
22168,1588.5,30.265681715452935,631.8666666666667,43.75,0,Low Stability / High Risk
30008,2069.6190476190477,28.966659264499704,742.45,28.57142857142857,1,High Stability / High Performance
30015,2267.9523809523807,23.11566500203889,627.05,38.095238095238095,1,High Stability / High Performance
30021,2431.8571428571427,25.58857932610711,762.3,47.61904761904761,1,High Stability / High Performance
30028,2214.5714285714284,21.09303295483437,530.1,38.095238095238095,1,High Stability / High Performance
30035,2295.4761904761904,22.75070752606713,622.45,38.095238095238095,1,High Stability / High Performance
